CZ3-TI7003,CZ3-FI7020,CZ3-TI7041,CZ3-TI7001,CZ3-TI7005,CZ3-PI7101,CZ3-FC7002,CZ3-TI7043,CZ3-PI7008,CZ3-FI7017,CZ3-FI7019,CZ3-TI7007,CZ3-FI7018,CZ3-FC7007,CZ3-FIC7009,CZ3-FI7006
517.4929,2072.946,59.81475,519.2042,517.881,0.8478577,170.912,193.4846,0.849732,4212.133,2678.28,522.0853,2828.48,163.5636,3.922211,75385.52
518.7781,1874.354,60.9973,520.0778,519.9615,0.8511441,172.0428,194.5156,0.8519447,4289.957,2468.231,523.9063,2670.432,164.1566,4.206105,76414.27
517.8248,2091.849,60.54138,518.7569,518.1927,0.8490312,169.7492,193.4315,0.851267,4430.745,2566.992,522.1245,2968.085,161.1194,4.26942,74087.96
518.8911,1973.948,62.28139,520.1699,520.4683,0.849269,171.9101,196.2063,0.8502505,4217.272,2511.032,523.9811,2763.57,164.1138,4.237177,76941.78
518.4179,2028.341,61.15543,518.4034,518.4464,0.8496495,170.0023,199.8263,0.8495877,3955.443,2497.544,522.0472,2759.058,160.4431,4.355494,76166.96
518.8663,2078.464,60.89045,519.9911,518.8837,0.8475727,170.5368,193.5074,0.8501213,4256.425,2512.242,522.5602,2933.399,161.3224,4.520757,74371.87
518.5691,2148.154,63.93297,519.3344,518.7983,0.8464687,169.8495,201.1132,0.8499763,4357.474,2652.855,522.5771,2894.201,159.3075,3.987781,78187.09
518.5581,2109.219,62.2271,519.2189,518.486,0.8470704,170.0602,193.8901,0.8502533,4196.115,2592.454,522.6703,2907.489,159.526,4.451353,75248
518.7582,2070.195,61.60515,519.8389,518.4647,0.8479687,170.5604,192.929,0.8503124,4122.692,2576.682,522.0193,2859.558,161.7053,4.459407,76308.45
517.1234,1864.669,60.75889,517.8086,518.0102,0.8475717,169.7893,202.3646,0.8499171,4350.908,2677.768,518.3989,3053.589,159.0388,4.092317,75432.12
518.192,2102.271,59.15712,518.8864,518.3154,0.8482214,170.021,192.7099,0.8506739,4131.61,2601.356,522.1298,2911.651,159.2923,3.822177,75273.83
515.465,1656.504,61.46426,516.6163,515.5929,0.8498749,172.1839,198.8846,0.850518,4050.308,2493.872,516.1721,2815.167,165.3815,3.813754,74046.8
517.7676,2115.677,62.31392,518.9724,517.9332,0.8479062,170.1944,193.2946,0.8503153,4434.517,2585.095,522.1985,2958.852,160.4428,4.36673,75159.46
519.2039,2137.304,63.10875,518.8076,519.7238,0.8480613,171.2436,194.1191,0.8497496,4752.839,2746.746,523.3732,3009.19,162.846,4.179634,74682.88
515.139,1721.723,61.15544,515.9144,516.3826,0.8518754,171.782,198.6217,0.85214,4178.742,2562.67,516.2085,2863.35,166.8282,3.618477,73764.62
518.1903,2017.857,61.60971,518.6861,518.2999,0.8494113,169.821,194.671,0.8500373,4116.593,2442.562,521.8184,2865.341,159.0808,4.804223,77362.98
516.5589,1790.485,62.13531,517.4281,517.2758,0.8483061,168.8101,204.3431,0.850308,4150.747,2606.663,517.9331,2948.467,162.4807,3.522834,76333.18
518.0412,2129.505,58.41905,517.8511,517.9323,0.8465011,169.5244,196.8262,0.8489282,4292.828,2728.47,521.5668,2859.145,163.4735,4.277958,76278.83
518.7084,2093.957,60.56342,519.0599,518.6542,0.8479685,169.2841,193.3358,0.8499101,4071.493,2565.612,521.9209,2917.298,160.4488,4.561483,74474.27
518.5928,2054.474,62.52712,519.6953,518.3605,0.8499774,169.9281,199.9412,0.849709,4053.843,2543.28,521.7513,2821.028,158.6815,4.593821,76818.23
515.3107,1696.769,63.38419,513.8021,516.4631,0.8496264,170.5751,198.8201,0.8505387,4182.234,2445.561,516.2122,2886.839,161.4325,4.091225,74200.92
518.1262,2154.01,62.326,517.7463,518.8188,0.8470312,169.678,201.3177,0.8504838,4558.438,2755.039,522.2584,2967.306,162.3228,3.780333,75661.17
517.7676,2208.812,58.9213,515.1801,517.043,0.8449818,170.4259,201.1895,0.8484805,4426.161,2709.67,522.6492,2920.884,161.3278,4.131693,77593.75
517.119,1738.619,60.89291,515.0889,517.6797,0.8463801,170.4897,201.0516,0.851011,4332.655,2581.724,517.92,2868.875,161.0091,3.375739,72724.7
518.9075,1864.585,61.48287,520.6732,520.0408,0.8482266,170.858,196.6991,0.8498054,4045.392,2350.628,523.8302,2618.265,161.4876,4.231754,76423.77
518.2679,2223.933,58.69184,519.0795,518.619,0.8466338,170.0767,200.876,0.8500041,4571.897,2703.239,523.0593,2951.743,161.6829,4.30101,76918.73
519.3927,2074.019,59.34575,517.9385,519.925,0.8477464,171.188,195.9599,0.8500627,4519.35,2707.46,525.0149,2863.005,161.0388,4.169324,76968.65
518.7712,1817.143,60.67066,518.3596,517.9261,0.8455351,170.7413,197.3394,0.8484996,4118.473,2560.609,518.4215,2946.135,161.8486,4.167099,77480.1
515.734,2255.346,64.60527,515.4522,517.8633,0.8472812,170.2883,200.4053,0.8500624,4643.025,2894.262,522.159,2972.469,160.8714,4.063195,73931.7
